Year,Pounds,Value,,,
2014,"124,325,923","459,508,386",,,
2015,"122,663,393","502,450,309",,,
2016,"132,616,424","540,740,292",,,
2017,"111,903,656","438,256,541",,,
2018,"119,640,379","484,543,633",,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
