OJustice,Appointment
ALITO,Republican Appointed
KAGAN,Democrat Appointed
THOMAS,Republican Appointed
KENNEDY,Republican Appointed
GINSBURG,Democrat Appointed
ROBERTS,Republican Appointed
BREYER,Democrat Appointed
SOTOMAYOR,Democrat Appointed
SCALIA,Republican Appointed
STEVENS,Republican Appointed
